date,tmax,tmin
2020/7/6,91.836051,78.252304
2020/7/7,93.278065,78.194664
2020/7/8,90.918885,81.245942
2020/7/9,89.667726,82.748463
2020/7/10,87.982944,81.061703
2020/7/11,89.256184,81.023987
2020/7/12,96.979556,81.276212
2020/7/13,96.158376,82.908728
2020/7/14,100.370577,83.866927
2020/7/15,95.274089,81.330096
2020/7/16,88.000794,80.920508
2020/7/17,86.019496,77.550548
2020/7/18,94.406769,79.456416
2020/7/19,83.098282,77.861376
2020/7/20,93.888442,78.810111
2020/7/21,92.658413,76.924963
2020/7/22,94.176476,81.273663
2020/7/23,95.074548,81.584786
2020/7/24,93.198285,81.088923
2020/7/25,93.248092,80.844049
2020/7/26,88.605588,79.065721
2020/7/27,91.79781,80.610308
2020/7/28,95.330625,82.503876
2020/7/29,96.371518,79.527656
2020/7/30,95.957668,80.095627
2020/7/31,94.582714,80.609454
