date,tmax,tmin
2020/7/6,82.398463,68.652218
2020/7/7,84.980577,67.296377
2020/7/8,87.33214,71.823461
2020/7/9,86.353206,65.018147
2020/7/10,89.520534,70.227955
2020/7/11,83.087534,67.556179
2020/7/12,81.931133,65.035577
2020/7/13,88.50596,70.426004
2020/7/14,90.230494,68.492258
2020/7/15,84.100044,69.551621
2020/7/16,88.226883,69.196836
2020/7/17,86.452474,69.517131
2020/7/18,83.066391,70.108308
2020/7/19,88.062766,65.137674
2020/7/20,84.482359,69.974207
2020/7/21,85.061756,72.589028
2020/7/22,86.600966,69.126645
2020/7/23,84.306311,68.063416
2020/7/24,87.952655,68.103114
2020/7/25,90.146635,69.947798
2020/7/26,87.909139,76.213025
2020/7/27,88.776215,71.032743
2020/7/28,87.755067,68.56907
2020/7/29,85.409006,67.11681
2020/7/30,84.203052,69.757765
2020/7/31,83.768199,69.664916
